ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated
1,"Allison, John",Giant Days : Volume 1,Giant Days,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
2,"Allison, John",Giant Days: Not On the Test Edition Volume 1 - Fall Semester,Giant Days,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
3,"Allison, John",Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,Giant Days,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
4,"Barnes, Derrick","Trivia Queen, Third Grade Supreme",Ruby and the Booker Boys,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,,PA,Central York School District,,York,,,,,,,,,,
5,"Barnes, Derrick",The Slumber Party Payback,Ruby and the Booker Boys,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
6,"Barnes, Derrick",Ruby Flips for Attention,Ruby and the Booker Boys,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,,PA,Central York School District,,York,,,,,,,,,,
7,"Brown, Monica",Lola Levine: Drama Queen,Lola Levine,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
8,"Brown, Monica",Lola Levine and the Ballet Scheme,Lola Levine,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
9,"Sotamayor, Sonia","¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú",,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
10,"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School,November,2021,FL,Indian River County Schools,,Indian River,,,Unknown,RETURNED - FL as 5/2022,,,,,,
11,"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School,12,2021,TX,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,,
12,"McNeil, Gretchen",#MurderTrending,,,,,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
13,"McNeil, Gretchen",#MurderTrending,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School,February,2022,VA,Bedford County School District,,Bedford,,,Unknown,,,,,,,
14,"McNeil, Gretchen",#MurderTrending,,,,Informal Challenge,Affiliation Unknown,On shelves,,Unknown,,,School,Unclear,,KN,Goddard,,,,,Unknown,,,,,,,
15,"McNeil, Gretchen",#MurderTrending,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,January,2022,GA,Savannah-Chatham County Public School SYstem,,,,,Unknown,,,,,,,
16,"Mac, Carrie",10 Things I Can See from Here,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2022,TX,McKinney,,,,,Unknown,,,,,,,
17,"Mac, Carrie",10 Things I Can See from Here,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School,12,2021,TX,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,,
18,"Mac, Carrie",10 Things I Can See from Here,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
19,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",Informal Challenge,Group,Challenged - Location Unknown,NLTE,Unknown,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,Clay County Website With Links,,,,
20,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",Response to Law,,Challenged - Location Unknown,,Retained Restricted,,Restricted to 4/5 - must have parent permission and books must be given to parent to check out,School,July,2022,FL,Seminole County Public Schools,,Seminole,,,,,,Florida Freedom to Read Project,,,,
21,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",,,Challenged - Removed While Under Review,,Unknown,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,From district website - update late Jan,,,,
22,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",Informal Challenge,Group,Challenged - Location Unknown,Area resident representing Muslim parental advocacy asked to remove 36 books. It seems some of these might not be in school - and some might have already been challenged.,N/A,,,School,March,2023,OH,Hilliard Board of Education,,,,,,,4/18/2023,https://news.wosu.org/news/2023-04-17/book-challenges-increase-in-ohio-across-us-as-groups-seek-to-ban-multiple-titles,https://www.dispatch.com/story/news/local/2023/02/14/hilliard-school-board-urged-not-to-give-in-to-fear-mongering-lawsuit/69901141007/,,,
