,author,title,library_type,day,month,year,challenge_date,state
0,"Allison, John",Giant Days : Volume 1,School,1,9,2022,2022-09-01,MO
1,"Allison, John",Giant Days: Not On the Test Edition Volume 1 - Fall Semester,School,1,9,2022,2022-09-01,MO
2,"Allison, John",Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,School,1,9,2022,2022-09-01,MO
4,"Barnes, Derrick",The Slumber Party Payback,School,1,9,2021,2021-09-01,PA
6,"Brown, Monica",Lola Levine: Drama Queen,School,1,9,2021,2021-09-01,PA
7,"Brown, Monica",Lola Levine and the Ballet Scheme,School,1,9,2021,2021-09-01,PA
8,"Sotamayor, Sonia","¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú",School,1,9,2021,2021-09-01,PA
9,"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,School,1,11,2021,2021-11-01,FL
10,"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,School,1,12,2021,2021-12-01,TX
11,"McNeil, Gretchen",#MurderTrending,School,1,7,2022,2022-07-01,FL
12,"McNeil, Gretchen",#MurderTrending,School,1,2,2022,2022-02-01,VA
14,"McNeil, Gretchen",#MurderTrending,School,1,1,2022,2022-01-01,GA
15,"Mac, Carrie",10 Things I Can See from Here,School,1,2,2022,2022-02-01,TX
16,"Mac, Carrie",10 Things I Can See from Here,School,1,12,2021,2021-12-01,TX
17,"Mac, Carrie",10 Things I Can See from Here,School,1,2,2022,2022-02-01,TN
18,"Ewert, Marcus","10,000 Dresses",School,1,7,2022,2022-07-01,FL
19,"Ewert, Marcus","10,000 Dresses",School,1,7,2022,2022-07-01,FL
20,"Ewert, Marcus","10,000 Dresses",School,1,1,2023,2023-01-01,FL
21,"Ewert, Marcus","10,000 Dresses",School,1,3,2023,2023-03-01,OH
22,"Ewert, Marcus","10,000 Dresses",Public,1,12,2022,2022-12-01,NE
24,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2023,2023-04-01,OR
25,"Maas, Sarah J.",A Court of Mist and Fury,School,1,1,2023,2023-01-01,PA
26,"Maas, Sarah J.",A Court of Mist and Fury,School,1,3,2023,2023-03-01,CO
27,"Maas, Sarah J.",A Court of Mist and Fury,School,1,2,2023,2023-02-01,FL
28,"Maas, Sarah J.",A Court of Mist and Fury,School,1,2,2023,2023-02-01,PA
29,"Maas, Sarah J.",A Court of Mist and Fury,School,1,9,2023,2023-09-01,TX
30,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2023,2023-04-01,KN
31,"Maas, Sarah J.",A Court of Mist and Fury,School,1,4,2023,2023-04-01,NC
32,"Maas, Sarah J.",A Court of Mist and Fury,School,1,2,2022,2022-02-01,AR
33,"Maas, Sarah J.",A Court of Mist and Fury,School,1,11,2021,2021-11-01,FL
34,"Maas, Sarah J.",A Court of Mist and Fury,School,1,3,2022,2022-03-01,NC
35,"Ewert, Marcus","10,000 Dresses",School,1,1,2022,2022-01-01,FL
36,"Henderson, Elizabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to a Teens' Questions About Sex, Sexuality, and Health",School,1,1,2022,2022-01-01,TX
38,"Gravett, Paul","1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga",School,1,9,2022,2022-09-01,MO
39,"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,School,1,12,2021,2021-12-01,TX
40,"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,School,1,12,2021,2021-12-01,TX
41,"Brynie, Faith Hickman","101 Questions About Sex & Sexuality: With Answers For The Curious, Cautious, and Confused",School,1,1,2022,2022-01-01,TX
42,"King, Stephen",11/22/63,School,1,1,2023,2023-01-01,VA
43,"Deedy, Carmen Agra",14 Cows for America,School,1,1,2022,2022-01-01,FL
44,"Levithan, David",19 Love Songs,School,1,1,2022,2022-01-01,TX
45,"Levithan, David",19 Love Songs,School,1,2,2022,2022-02-01,TN
46,"Orwell, George",1984 The Graphic Novel,School,1,11,2022,2022-11-01,MO
47,"Orwell, George",1984 The Graphic Novel,School,1,9,2022,2022-09-01,MO
48,"Orwell, George",1984 The Graphic Novel,School,1,2,2023,2023-02-01,PA
49,"Orwell, George",1984 The Graphic Novel,School,1,2,2023,2023-02-01,PA
