,count,name
0,1713,Florida
1,1572,Texas
2,818,Pennsylvania
3,408,Missouri
4,408,Tennessee
5,235,Kentucky
6,230,Virginia
7,227,South Carolina
8,216,Utah
9,206,North Carolina
10,142,Michigan
11,96,Maryland
12,79,Colorado
13,70,Idaho
14,69,Ohio
15,63,Alaska
16,57,Oklahoma
17,51,Georgia
18,50,Iowa
19,50,
20,49,Oregon
21,39,Alabama
22,36,Wisconsin
23,34,Maine
24,32,Wyoming
25,28,North Dakota
26,28,Connecticut
27,27,New York
28,25,Washington
29,23,Mississippi
30,23,Indiana
31,22,Illinois
32,21,New Jersey
33,16,Arkansas
34,15,Nebraska
35,14,Massachusetts
36,12,Rhode Island
37,10,New Hampshire
38,10,Louisiana
39,9,Minnesota
40,8,California
41,7,South Dakota
42,5,Nevada
43,4,Arizona
44,3,Vermont
45,3,Montana
46,2,New Mexico
47,1,Hawaii
48,1,West Virginia
49,0,Delaware
50,0,Kansas
